clue_numbers,solving_time_ms,backtrack_count,propagation_count
762413859413589672589762143351978426978246531246351798827634915195827364634195287,80,0.029,0,0
547689231689231547231547689154768923923154768768923154892315476476892315315476892,80,0.008,0,0
621354789987216534435879126219563478356748912874192653198625347562437891743981265,80,0.009,0,0
289473651651982374374156289927534168435861927168729435812397546793645812546218793,80,0.009,0,0
731895426246731985895246371583629714629174853174583269412357698968412537357968142,80,0.006,0,0
946752831257318964813649275691427358724583619385196742532861497168974523479235186,80,0.006,0,0
538972146416853279729641358873294561942165783651387492185739624397426815264518937,80,0.006,0,0
752843916438619572196275348981756234567432891324198657615327489849561723273984165,80,0.022,0,0
389125647512764938476893251247386195951472863638519724124637589763958412895241376,80,0.017,0,0
538942617924761835716583429672815394851439276493627158187354962269178543345296781,80,0.008,0,0
736849521152637489948251367481725693369184275527963814273496158815372946694518732,80,0.008,0,0
584627931672193485139548276468271359217935864953486712345862197826719543791354628,80,0.009,0,0
248671359539428671761359428495862137682137945317945862854216793973584216126793584,80,0.006,0,0
734169825582743961196528347865372419941856273327914658618235794253497186479681532,80,0.009,0,0
276394185934518267158726943561472398742839516389651724497183652813265479625947831,80,0.006,0,0
328674519915283764467159823831427695596318247742965138273546981189732456654891372,80,0.006,0,0
516472893893561427427839516275943168934186275168257934689715342342698751751324689,80,0.006,0,0
325174689147869532896352714534791268719628453682543971978236145451987326263415897,80,0.008,0,0
